PLAYER_NAME,TEAM,GP,MP,BPM,OBPM,DBPM,VORP
DeMar DeRozan,CHI,79,2989,1.8,2.1,-0.3,2.8
Domantas Sabonis,SAC,82,2928,6.5,4.0,2.4,6.2
Coby White,CHI,79,2881,-0.7,0.7,-1.3,0.9
Mikal Bridges,BRK,82,2854,-0.4,0.7,-1.0,1.2
Paolo Banchero,ORL,80,2799,1.3,1.3,0.0,2.3
Kevin Durant,PHO,75,2791,4.0,4.0,0.1,4.3
Dejounte Murray,ATL,78,2783,1.7,2.3,-0.6,2.6
Anthony Edwards,MIN,79,2770,3.3,2.7,0.5,3.7
Nikola Jokić,DEN,79,2737,13.2,9.0,4.2,10.6
Jalen Brunson,NYK,77,2726,5.8,6.3,-0.4,5.4
Josh Hart,NYK,81,2707,0.0,-1.3,1.4,1.4
Anthony Davis,LAL,76,2700,5.1,3.5,1.7,4.9
Fred VanVleet,HOU,73,2684,3.4,2.6,0.8,3.6
De'Aaron Fox,SAC,74,2659,2.7,2.6,0.1,3.2
Pascal Siakam,2TM,80,2657,1.9,2.6,-0.7,2.7
Pascal Siakam,TOR,39,1354,1.4,2.2,-0.8,1.2
Pascal Siakam,IND,41,1303,2.5,3.0,-0.5,1.5
Jayson Tatum,BOS,74,2645,5.1,4.5,0.6,4.7
Austin Reaves,LAL,82,2629,0.4,0.9,-0.4,1.6
Tyrese Maxey,PHI,70,2626,3.1,4.1,-1.0,3.4
Luka Dončić,DAL,70,2624,9.9,8.3,1.7,8.0
Nikola Vučević,CHI,76,2610,0.1,0.8,-0.7,1.4
Jalen Green,HOU,82,2601,-0.5,0.4,-0.9,1.0
Rudy Gobert,MIN,76,2593,1.8,0.1,1.7,2.5
Keegan Murray,SAC,77,2588,-0.9,-0.4,-0.5,0.8
Miles Bridges,CHO,69,2581,-1.1,0.2,-1.3,0.6
Damian Lillard,MIL,73,2579,2.1,3.4,-1.3,2.7
Giannis Antetokounmpo,MIL,73,2567,9.0,6.7,2.4,7.2
Michael Porter Jr.,DEN,81,2565,0.1,1.2,-1.2,1.3
Shai Gilgeous-Alexander,OKC,75,2553,9.0,6.7,2.3,7.1
Grayson Allen,PHO,75,2513,1.3,1.1,0.1,2.0
LeBron James,LAL,71,2504,6.5,5.5,0.9,5.4
Paul George,LAC,74,2502,3.2,2.9,0.2,3.3
Dennis Schröder,2TM,80,2486,-1.8,-0.5,-1.3,0.1
Dennis Schröder,TOR,51,1559,-1.8,-0.5,-1.3,0.1
Dennis Schröder,BRK,29,927,-1.9,-0.5,-1.4,0.0
D'Angelo Russell,LAL,76,2484,0.9,1.7,-0.8,1.8
James Harden,LAC,72,2470,4.1,3.8,0.3,3.8
Devin Booker,PHO,68,2447,3.0,4.0,-1.0,3.1
Jarrett Allen,CLE,77,2442,3.0,2.1,0.9,3.1
Jabari Smith Jr.,HOU,76,2424,-0.4,-0.5,0.1,1.0
Stephen Curry,GSW,74,2421,5.2,6.3,-1.1,4.4
Bam Adebayo,MIA,71,2416,2.4,0.8,1.7,2.7
Chet Holmgren,OKC,82,2413,3.4,1.8,1.5,3.3
Brook Lopez,MIL,79,2411,1.0,0.2,0.8,1.8
Kentavious Caldwell-Pope,DEN,76,2402,-1.4,-2.1,0.7,0.4
Bogdan Bogdanović,ATL,79,2401,0.2,0.9,-0.7,1.4
Brandon Miller,CHO,74,2383,-2.6,-0.9,-1.6,-0.3
Harrison Barnes,SAC,82,2381,-1.8,-0.6,-1.2,0.1
Derrick White,BOS,73,2381,3.8,2.4,1.4,3.5
Tobias Harris,PHI,70,2368,0.9,1.0,-0.1,1.7
Donte DiVincenzo,NYK,81,2360,3.4,2.5,0.9,3.2
Jordan Poole,WAS,78,2346,-3.9,-2.0,-1.9,-1.2
Jaylen Brown,BOS,70,2343,0.7,0.9,-0.1,1.6
Malik Beasley,MIL,79,2337,-1.8,-1.0,-0.8,0.1
Franz Wagner,ORL,72,2337,1.2,0.9,0.3,1.9
Kawhi Leonard,LAC,68,2330,5.5,4.8,0.6,4.4
Herbert Jones,NOP,76,2321,0.6,-0.9,1.5,1.6
Aaron Gordon,DEN,73,2297,1.3,1.2,0.1,1.9
Klay Thompson,GSW,77,2284,-0.4,1.1,-1.5,0.9
Kyle Kuzma,WAS,70,2281,-1.1,0.5,-1.6,0.5
Jrue Holiday,BOS,69,2263,2.1,1.0,1.1,2.4
Deni Avdija,WAS,75,2257,-0.9,-0.7,-0.2,0.6
Devin Vassell,SAS,68,2248,0.0,0.9,-0.9,1.1
Luguentz Dort,OKC,79,2246,-1.6,-1.4,-0.2,0.2
Max Strus,CLE,70,2239,-0.6,-1.1,0.5,0.8
Dillon Brooks,HOU,72,2227,-3.6,-3.3,-0.3,-0.9
Tyrese Haliburton,IND,69,2224,6.9,7.3,-0.4,5.0
Jalen Williams,OKC,71,2223,2.3,2.0,0.3,2.4
P.J. Washington,2TM,73,2221,-2.1,-1.7,-0.4,-0.1
P.J. Washington,CHO,44,1286,-2.8,-1.7,-1.1,-0.3
P.J. Washington,DAL,29,935,-1.2,-1.8,0.7,0.2
Jaden Ivey,DET,77,2217,-3.1,-1.4,-1.7,-0.6
Ayo Dosunmu,CHI,76,2212,-0.8,-0.6,-0.2,0.7
Zion Williamson,NOP,70,2207,3.8,3.3,0.6,3.3
Mike Conley,MIN,76,2193,3.4,2.0,1.4,3.0
Jeremy Sochan,SAS,74,2193,-3.4,-2.8,-0.6,-0.8
Buddy Hield,2TM,84,2160,0.4,1.0,-0.6,1.3
Buddy Hield,IND,52,1336,0.2,1.0,-0.8,0.7
Buddy Hield,PHI,32,824,0.8,1.0,-0.3,0.6
CJ McCollum,NOP,66,2159,3.1,3.3,-0.3,2.8
Spencer Dinwiddie,2TM,76,2152,-1.9,-1.3,-0.6,0.1
Spencer Dinwiddie,BRK,48,1474,-1.3,-0.5,-0.8,0.3
Spencer Dinwiddie,LAL,28,678,-3.2,-3.2,-0.1,-0.2
Tre Jones,SAS,77,2138,-0.4,-0.4,0.1,0.9
Grant Williams,2TM,76,2130,-2.6,-1.9,-0.7,-0.3
Grant Williams,DAL,47,1242,-3.4,-2.7,-0.7,-0.4
Grant Williams,CHO,29,888,-1.5,-0.8,-0.7,0.1
Jaren Jackson Jr.,MEM,66,2124,0.4,0.0,0.4,1.3
Tim Hardaway Jr.,DAL,79,2120,-2.9,-0.8,-2.1,-0.5
Nic Claxton,BRK,71,2116,1.2,-0.3,1.5,1.7
Jaime Jaquez Jr.,MIA,75,2113,-1.9,-2.2,0.3,0.1
Taurean Prince,LAL,78,2108,-2.8,-2.6,-0.2,-0.4
Victor Wembanyama,SAS,71,2106,5.2,1.9,3.3,3.8
Jaden McDaniels,MIN,72,2105,-2.6,-3.3,0.7,-0.3
Brandon Ingram,NOP,64,2103,1.2,1.4,-0.3,1.7
Scottie Barnes,TOR,60,2094,3.7,2.9,0.8,3.0
Jusuf Nurkić,PHO,76,2078,1.1,-1.0,2.1,1.6
Myles Turner,IND,77,2076,0.9,1.0,-0.1,1.5
Collin Sexton,UTA,78,2075,1.9,3.8,-1.9,2.0
Cam Thomas,BRK,66,2075,-1.2,0.7,-1.9,0.4
Cade Cunningham,DET,62,2074,0.3,2.0,-1.6,1.2
Corey Kispert,WAS,80,2067,-2.1,-0.2,-2.0,-0.1
Saddiq Bey,ATL,63,2062,-1.8,0.1,-2.0,0.1
Kelly Oubre Jr.,PHI,68,2055,-2.3,-1.5,-0.7,-0.1
Alperen Şengün,HOU,63,2046,4.9,3.1,1.7,3.5
Jimmy Butler,MIA,60,2042,4.6,3.9,0.7,3.4
Alex Caruso,CHI,71,2040,2.5,0.2,2.3,2.3
Terry Rozier,2TM,61,2040,1.5,2.2,-0.7,1.8
Terry Rozier,CHO,30,1065,2.3,3.8,-1.5,1.1
Terry Rozier,MIA,31,975,0.7,0.4,0.3,0.7
Keldon Johnson,SAS,69,2038,-1.7,-0.3,-1.4,0.2
Kyrie Irving,DAL,58,2030,4.9,4.8,0.1,3.6
Karl-Anthony Towns,MIN,62,2026,2.5,1.6,0.9,2.3
Jalen Suggs,ORL,75,2025,1.0,-0.6,1.6,1.5
Keyonte George,UTA,75,2023,-4.4,-1.5,-2.9,-1.2
Josh Giddey,OKC,80,2011,1.5,1.0,0.4,1.8
Bobby Portis,MIL,82,2008,-0.8,0.0,-0.8,0.6
Aaron Nesmith,IND,72,1995,-0.5,-0.3,-0.2,0.8
Gary Trent Jr.,TOR,71,1994,-2.6,-1.2,-1.4,-0.3
Norman Powell,LAC,76,1990,-0.8,0.4,-1.2,0.6
Immanuel Quickley,2TM,68,1985,1.3,2.2,-0.9,1.7
Immanuel Quickley,NYK,30,720,2.5,2.7,-0.2,0.8
Immanuel Quickley,TOR,38,1265,0.6,1.9,-1.3,0.8
Brandin Podziemski,GSW,74,1968,-0.1,-0.5,0.4,0.9
Naz Reid,MIN,81,1964,1.5,0.4,1.1,1.7
Caris LeVert,CLE,68,1958,0.2,-0.6,0.8,1.1
Royce O'Neale,2TM,79,1954,0.0,-1.0,1.0,1.0
Royce O'Neale,BRK,49,1202,-0.7,-1.6,0.8,0.4
Royce O'Neale,PHO,30,752,1.3,-0.2,1.4,0.6
Jonathan Kuminga,GSW,74,1949,-0.4,0.0,-0.4,0.8
Donovan Mitchell,CLE,55,1942,5.8,4.6,1.2,3.9
Trae Young,ATL,54,1942,2.6,4.9,-2.3,2.2
Dorian Finney-Smith,BRK,68,1934,-2.0,-2.0,-0.1,0.0
Tyus Jones,WAS,66,1933,0.7,1.5,-0.9,1.3
Jonas Valančiūnas,NOP,82,1925,1.2,0.7,0.5,1.6
Nickeil Alexander-Walker,MIN,82,1921,0.2,-1.1,1.3,1.1
Andrew Wiggins,GSW,71,1920,-2.5,-1.4,-1.2,-0.3
Duncan Robinson,MIA,68,1905,-0.9,-0.5,-0.4,0.6
John Collins,UTA,68,1901,-0.9,0.5,-1.4,0.5
Darius Garland,CLE,57,1901,-1.0,0.2,-1.2,0.5
Isaiah Hartenstein,NYK,75,1896,3.5,0.7,2.8,2.6
Eric Gordon,PHO,68,1893,-1.7,-1.3,-0.5,0.1
Jalen Johnson,ATL,56,1889,1.2,0.4,0.8,1.5
Isaac Okoro,CLE,69,1887,-1.1,-1.8,0.7,0.4
Clint Capela,ATL,73,1883,0.1,1.0,-1.0,1.0
Terance Mann,LAC,75,1873,-1.5,-0.8,-0.7,0.2
Malik Monk,SAC,72,1872,0.6,1.5,-1.0,1.2
Bruce Brown,2TM,67,1866,-3.3,-2.4,-1.0,-0.6
Bruce Brown,IND,33,981,-2.3,-1.7,-0.5,-0.1
Bruce Brown,TOR,34,885,-4.5,-3.1,-1.4,-0.5
Jamal Murray,DEN,59,1861,4.1,4.5,-0.4,2.9
RJ Barrett,2TM,58,1838,-0.8,0.7,-1.5,0.6
RJ Barrett,NYK,26,766,-2.0,-0.3,-1.7,0.0
RJ Barrett,TOR,32,1072,0.1,1.5,-1.4,0.6
Georges Niang,CLE,82,1831,-2.9,-2.5,-0.4,-0.4
Jerami Grant,POR,54,1830,-0.1,1.0,-1.1,0.9
Rui Hachimura,LAL,68,1826,-0.9,0.0,-0.9,0.5
Payton Pritchard,BOS,82,1825,1.0,1.3,-0.2,1.4
Lauri Markkanen,UTA,55,1820,3.6,5.1,-1.5,2.6
Reggie Jackson,DEN,82,1817,-3.2,-1.8,-1.5,-0.6
Cole Anthony,ORL,81,1817,0.1,-0.6,0.7,1.0
Daniel Gafford,2TM,74,1815,2.6,0.7,1.9,2.1
Daniel Gafford,WAS,45,1192,0.9,-0.2,1.1,0.9
Daniel Gafford,DAL,29,623,5.9,2.5,3.4,1.3
Ivica Zubac,LAC,68,1794,0.8,0.8,0.0,1.3
Deandre Ayton,POR,55,1784,0.3,0.5,-0.2,1.0
Derrick Jones Jr.,DAL,76,1783,-1.5,-1.3,-0.3,0.2
Kyle Anderson,MIN,79,1782,1.1,-1.6,2.7,1.4
Jalen Duren,DET,61,1777,-0.1,-0.2,0.1,0.9
Bradley Beal,PHO,53,1767,0.4,0.9,-0.6,1.1
Scoot Henderson,POR,62,1765,-5.8,-3.5,-2.3,-1.7
Nick Richards,CHO,67,1759,-2.3,-1.6,-0.7,-0.1
Kelly Olynyk,2TM,78,1759,1.8,0.7,1.1,1.7
Kelly Olynyk,UTA,50,1019,2.6,1.3,1.3,1.2
Kelly Olynyk,TOR,28,740,0.7,0.0,0.7,0.5
Caleb Martin,MIA,64,1756,-2.0,-2.2,0.2,0.0
Sam Hauser,BOS,79,1741,1.2,1.2,0.0,1.4
Al Horford,BOS,65,1740,3.6,1.7,2.0,2.5
Toumani Camara,POR,70,1739,-3.1,-3.1,0.0,-0.5
Obi Toppin,IND,82,1730,1.5,1.8,-0.3,1.5
Bilal Coulibaly,WAS,63,1715,-4.2,-3.6,-0.5,-0.9
OG Anunoby,2TM,50,1702,-0.6,-1.0,0.5,0.6
OG Anunoby,TOR,27,900,-1.6,-0.8,-0.7,0.1
OG Anunoby,NYK,23,802,0.6,-1.3,1.8,0.5
Jabari Walker,POR,72,1700,-3.3,-2.4,-0.9,-0.6
Andrew Nembhard,IND,68,1697,-2.2,-1.6,-0.5,-0.1
Cason Wallace,OKC,82,1692,0.1,-0.9,1.0,0.9
Trey Murphy III,NOP,57,1690,2.5,2.5,0.0,1.9
Kristaps Porziņģis,BOS,57,1690,5.1,3.5,1.6,3.0
Kyle Lowry,2TM,60,1690,-1.0,-1.9,0.9,0.4
Kyle Lowry,MIA,37,1037,-0.8,-2.0,1.3,0.3
Kyle Lowry,PHI,23,653,-1.3,-1.7,0.4,0.1
Jordan Clarkson,UTA,55,1682,-4.5,-1.3,-3.2,-1.1
De'Andre Hunter,ATL,57,1681,-2.4,-0.9,-1.5,-0.2
Pat Connaughton,MIL,76,1676,-1.6,-1.6,0.0,0.2
Christian Braun,DEN,82,1655,-1.9,-1.7,-0.2,0.0
Simone Fontecchio,2TM,66,1644,-1.0,0.0,-1.0,0.4
Simone Fontecchio,UTA,50,1160,-1.6,-0.4,-1.2,0.1
Simone Fontecchio,DET,16,484,0.6,1.0,-0.4,0.3
Ochai Agbaji,2TM,78,1641,-4.4,-3.5,-0.9,-1.0
Ochai Agbaji,UTA,51,1003,-3.0,-2.5,-0.5,-0.3
Ochai Agbaji,TOR,27,638,-6.5,-5.0,-1.5,-0.7
Julius Randle,NYK,46,1630,1.9,2.2,-0.3,1.6
Precious Achiuwa,2TM,74,1624,-1.4,-1.7,0.3,0.2
Precious Achiuwa,TOR,25,437,-1.6,-1.4,-0.2,0.0
Precious Achiuwa,NYK,49,1187,-1.4,-1.9,0.5,0.2
Santi Aldama,MEM,61,1618,-0.2,-0.7,0.4,0.7
Cameron Johnson,BRK,58,1599,0.4,0.9,-0.5,1.0
Malaki Branham,SAS,75,1594,-5.6,-3.4,-2.2,-1.5
Paul Reed,PHI,82,1590,0.4,-0.6,1.0,0.9
Ausar Thompson,DET,63,1583,-2.2,-2.8,0.6,-0.1
Anfernee Simons,POR,46,1582,0.2,2.7,-2.5,0.8
Kevin Huerter,SAC,64,1562,-0.8,-0.5,-0.4,0.5
Bennedict Mathurin,IND,59,1538,-3.4,-1.2,-2.3,-0.6
Evan Mobley,CLE,50,1532,2.9,0.9,2.0,1.9
Chris Paul,GSW,58,1531,1.0,-0.2,1.2,1.2
Russell Westbrook,LAC,68,1529,0.5,-0.2,0.7,1.0
Nicolas Batum,2TM,60,1529,-0.4,-1.3,0.8,0.6
Nicolas Batum,LAC,3,54,2.8,-1.5,4.4,0.1
Nicolas Batum,PHI,57,1475,-0.5,-1.3,0.7,0.5
Zach Collins,SAS,69,1526,-2.0,-2.0,-0.1,0.0
Josh Green,DAL,57,1505,-2.7,-2.4,-0.3,-0.3
Walker Kessler,UTA,64,1493,0.9,-0.4,1.3,1.1
Draymond Green,GSW,55,1490,2.4,-0.6,3.0,1.6
Peyton Watson,DEN,80,1488,-2.2,-3.0,0.8,-0.1
Matisse Thybulle,POR,65,1487,0.6,-2.8,3.4,0.9
Khris Middleton,MIL,55,1487,1.1,1.1,0.0,1.2
Bojan Bogdanović,2TM,57,1478,-3.2,-0.7,-2.5,-0.4
Bojan Bogdanović,DET,28,921,-2.1,0.3,-2.5,0.0
Bojan Bogdanović,NYK,29,557,-4.9,-2.4,-2.5,-0.4
Julian Champagnie,SAS,74,1468,-1.9,-1.8,-0.1,0.0
Patrick Beverley,2TM,73,1462,-1.1,-1.5,0.5,0.3
Patrick Beverley,PHI,47,919,-1.5,-1.5,0.0,0.1
Patrick Beverley,MIL,26,543,-0.4,-1.6,1.2,0.2
Amir Coffey,LAC,70,1460,-2.2,-1.9,-0.3,-0.1
Isaiah Joe,OKC,78,1445,0.9,1.1,-0.3,1.0
Desmond Bane,MEM,42,1443,2.8,3.1,-0.3,1.7
Vince Williams Jr.,MEM,52,1436,-0.7,-1.7,1.0,0.5
Isaiah Stewart,DET,46,1423,-2.3,-1.6,-0.7,-0.1
Moritz Wagner,ORL,80,1415,2.0,1.7,0.3,1.4
Tyler Herro,MIA,42,1407,0.8,1.5,-0.7,1.0
Wendell Carter Jr.,ORL,55,1406,0.9,0.5,0.4,1.0
Onyeka Okongwu,ATL,55,1405,-0.4,0.0,-0.5,0.5
Amen Thompson,HOU,62,1388,1.8,-0.1,1.9,1.3
Haywood Highsmith,MIA,66,1366,-0.7,-1.8,1.1,0.5
Dyson Daniels,NOP,61,1358,0.6,-1.9,2.5,0.9
Andre Drummond,CHI,79,1351,0.1,0.8,-0.7,0.7
Marcus Sasser,DET,71,1351,-2.6,-1.5,-1.1,-0.2
Kris Murray,POR,62,1348,-3.6,-3.5,-0.2,-0.6
Miles McBride,NYK,68,1328,-0.1,-0.4,0.4,0.6
Jakob Poeltl,TOR,50,1319,0.7,-0.3,1.0,0.9
Joel Embiid,PHI,39,1309,11.6,8.5,3.1,4.5
Jeff Green,HOU,78,1307,-2.1,-1.6,-0.4,0.0
Cameron Payne,2TM,78,1304,-1.1,-0.5,-0.6,0.3
Cameron Payne,MIL,47,702,-1.5,-1.0,-0.5,0.1
Cameron Payne,PHI,31,602,-0.7,0.0,-0.8,0.2
Gary Harris,ORL,54,1297,-1.2,-2.3,1.1,0.3
Dereck Lively II,DAL,55,1294,0.5,-0.3,0.8,0.8
T.J. McConnell,IND,71,1291,3.0,2.9,0.1,1.6
Aaron Holiday,HOU,78,1269,-1.5,-1.8,0.3,0.2
Cedi Osman,SAS,72,1269,-2.1,-1.7,-0.3,0.0
Gradey Dick,TOR,60,1268,-5.4,-3.2,-2.2,-1.1
Naji Marshall,NOP,66,1257,-0.7,-1.3,0.5,0.4
Kris Dunn,UTA,66,1249,-0.1,-1.5,1.4,0.6
Gordon Hayward,2TM,51,1245,-2.1,-1.6,-0.5,0.0
Gordon Hayward,CHO,25,798,-1.8,-1.2,-0.6,0.0
Gordon Hayward,OKC,26,447,-2.6,-2.4,-0.2,-0.1
GG Jackson II,MEM,48,1233,-2.0,-0.2,-1.8,0.0
Aaron Wiggins,OKC,78,1228,0.7,0.4,0.4,0.8
Larry Nance Jr.,NOP,61,1216,2.0,-0.2,2.2,1.2
Duop Reath,POR,68,1214,-0.9,-0.2,-0.7,0.3
Alec Burks,2TM,66,1212,-2.3,-0.3,-2.0,-0.1
Alec Burks,DET,43,901,-0.4,1.3,-1.7,0.4
Alec Burks,NYK,23,311,-7.8,-4.9,-3.0,-0.5
Kevon Looney,GSW,74,1195,0.6,-0.8,1.4,0.8
David Roddy,2TM,65,1177,-5.0,-4.0,-1.0,-0.9
David Roddy,MEM,48,1114,-5.0,-3.9,-1.0,-0.8
David Roddy,PHO,17,63,-5.8,-4.8,-1.0,-0.1
Vasilije Micić,2TM,60,1176,-4.6,-2.5,-2.2,-0.8
Vasilije Micić,OKC,30,361,-5.3,-3.9,-1.4,-0.3
Vasilije Micić,CHO,30,815,-4.4,-1.9,-2.5,-0.5
Patrick Williams,CHI,43,1174,-2.3,-2.1,-0.1,-0.1
John Konchar,MEM,55,1173,-0.4,-2.6,2.2,0.5
Drew Eubanks,PHO,75,1169,-1.2,-2.0,0.8,0.2
Joe Ingles,ORL,68,1169,-0.5,-1.7,1.2,0.5
Anthony Black,ORL,69,1164,-3.0,-3.8,0.8,-0.3
Jordan Hawkins,NOP,67,1160,-3.1,-1.3,-1.7,-0.3
Trey Lyles,SAC,58,1158,-1.1,-0.4,-0.7,0.3
Moses Moody,GSW,66,1156,-0.1,-0.2,0.1,0.6
Jae Crowder,MIL,50,1156,-2.6,-2.6,0.0,-0.2
Trayce Jackson-Davis,GSW,68,1130,2.8,1.5,1.2,1.4
Malcolm Brogdon,POR,39,1121,2.0,2.7,-0.7,1.1
Dean Wade,CLE,54,1108,0.1,-1.7,1.8,0.6
Josh Richardson,MIA,43,1103,-1.3,-1.3,0.0,0.2
Davion Mitchell,SAC,72,1101,-3.4,-2.4,-1.0,-0.4
Dario Šarić,GSW,64,1098,1.0,0.6,0.4,0.9
James Wiseman,DET,63,1091,-3.5,-2.6,-0.9,-0.4
Danté Exum,DAL,55,1088,-0.6,-0.3,-0.3,0.4
Sam Merrill,CLE,61,1069,0.5,1.3,-0.8,0.7
Dennis Smith Jr.,BRK,56,1059,-0.8,-2.6,1.8,0.3
Shaedon Sharpe,POR,32,1059,-2.8,-1.9,-0.9,-0.2
Jordan Goodwin,2TM,57,1055,-1.0,-1.5,0.5,0.3
Jordan Goodwin,PHO,40,558,-0.9,-1.3,0.4,0.2
Jordan Goodwin,MEM,17,497,-1.2,-1.8,0.6,0.1
Marvin Bagley III,2TM,50,1053,-0.4,1.0,-1.4,0.4
Marvin Bagley III,DET,26,478,-1.2,0.4,-1.6,0.1
Marvin Bagley III,WAS,24,575,0.3,1.5,-1.2,0.3
Torrey Craig,CHI,53,1049,-2.0,-1.8,-0.2,0.0
Jalen Smith,IND,61,1047,2.4,3.2,-0.8,1.2
Dalano Banton,2TM,54,1047,-1.3,-0.7,-0.6,0.2
Dalano Banton,BOS,24,171,-4.1,-4.7,0.6,-0.1
Dalano Banton,POR,30,876,-0.8,0.1,-0.9,0.3
Ziaire Williams,MEM,51,1038,-4.5,-4.0,-0.4,-0.6
Jae'Sean Tate,HOU,65,1031,-2.3,-3.7,1.5,-0.1
Kenrich Williams,OKC,69,1029,-0.8,-1.1,0.3,0.3
Jose Alvarado,NOP,56,1028,-0.1,-1.5,1.5,0.5
Quentin Grimes,2TM,51,1025,-2.2,-2.6,0.4,-0.1
Quentin Grimes,NYK,45,910,-1.5,-1.9,0.4,0.1
Quentin Grimes,DET,6,115,-8.1,-7.8,-0.4,-0.2
De'Anthony Melton,PHI,38,1023,0.5,-0.7,1.2,0.7
Daniel Theis,2TM,60,1015,-1.6,-1.7,0.1,0.1
Daniel Theis,IND,1,8,-20.5,-13.2,-7.3,0.0
Daniel Theis,LAC,59,1007,-1.5,-1.6,0.1,0.1
Lonnie Walker IV,BRK,58,1011,-1.4,-0.4,-1.0,0.2
Talen Horton-Tucker,UTA,51,1009,-1.2,-0.9,-0.4,0.2
Killian Hayes,DET,42,1008,-2.7,-2.9,0.2,-0.2
Jevon Carter,CHI,72,1004,-4.0,-3.3,-0.7,-0.5
Luke Kennard,MEM,39,999,-0.3,0.6,-0.9,0.4
Garrison Mathews,ATL,66,992,-3.0,-2.1,-0.9,-0.2
Jaden Hardy,DAL,73,989,-4.1,-2.0,-2.1,-0.5
Tre Mann,2TM,41,987,-1.3,-1.7,0.4,0.2
Tre Mann,OKC,13,119,0.1,0.4,-0.2,0.1
Tre Mann,CHO,28,868,-1.5,-2.0,0.5,0.1
Cam Reddish,LAL,48,984,-3.2,-4.0,0.8,-0.3
Luke Kornet,BOS,63,983,3.4,1.6,1.8,1.3
Keon Ellis,SAC,57,978,1.2,-0.9,2.1,0.8
Xavier Tillman Sr.,2TM,54,974,-1.2,-3.1,1.9,0.2
Xavier Tillman Sr.,MEM,34,700,-1.7,-3.8,2.1,0.1
Xavier Tillman Sr.,BOS,20,274,0.0,-1.3,1.3,0.1
Josh Okogie,PHO,60,960,-0.5,-1.3,0.8,0.4
Goga Bitadze,ORL,62,957,2.1,-0.7,2.8,1.0
Max Christie,LAL,67,944,-3.6,-3.2,-0.4,-0.4
Kevin Love,MIA,55,924,3.6,2.7,1.0,1.3
Day'Ron Sharpe,BRK,61,921,0.0,-0.4,0.4,0.5
Jonathan Isaac,ORL,58,914,3.8,1.4,2.4,1.4
Markelle Fultz,ORL,43,910,-1.4,-2.6,1.2,0.1
Doug McDermott,2TM,64,904,-3.4,-1.5,-1.9,-0.3
Doug McDermott,SAS,46,700,-2.9,-1.0,-1.8,-0.2
Doug McDermott,IND,18,204,-5.1,-3.0,-2.2,-0.2
Jaylin Williams,OKC,69,897,1.1,-0.8,1.9,0.7
Nikola Jović,MIA,46,896,0.3,-0.9,1.3,0.5
Bryce McGowens,CHO,59,882,-4.9,-3.7,-1.1,-0.6
Cam Whitmore,HOU,47,880,0.1,1.0,-0.9,0.5
Jaxson Hayes,LAL,70,877,-1.9,-2.8,0.9,0.0
Blake Wesley,SAS,61,876,-4.0,-4.0,0.1,-0.4
Malachi Flynn,3TM,69,876,-2.2,-2.0,-0.2,0.0
Malachi Flynn,TOR,31,474,-2.7,-2.8,0.0,-0.1
Malachi Flynn,NYK,14,60,-2.6,-1.7,-0.9,0.0
Malachi Flynn,DET,24,342,-1.3,-1.0,-0.3,0.1
Christian Wood,LAL,50,872,-2.8,-2.6,-0.2,-0.2
Zach LaVine,CHI,25,872,0.1,0.8,-0.7,0.5
Maxi Kleber,DAL,43,871,-1.3,-2.3,1.0,0.2
Justin Holiday,DEN,58,862,-1.6,-2.5,0.9,0.1
