PLAYER_NAME,TEAM,GP,MP,BPM,OBPM,DBPM,VORP
Chimezie Metu,2TM,51,859,-1.3,-2.1,0.8,0.2
Chimezie Metu,PHO,37,448,-1.3,-1.6,0.3,0.1
Chimezie Metu,DET,14,411,-1.3,-2.7,1.4,0.1
Trendon Watford,BRK,63,856,-0.5,-0.9,0.4,0.3
Taylor Hendricks,UTA,40,856,-1.6,-1.3,-0.4,0.1
Dwight Powell,DAL,63,836,-0.3,-1.1,0.8,0.4
Troy Brown Jr.,2TM,59,827,-2.6,-2.8,0.2,-0.1
Troy Brown Jr.,MIN,37,410,0.4,-0.2,0.5,0.2
Troy Brown Jr.,DET,22,417,-5.5,-5.3,-0.2,-0.4
Marcus Morris,2TM,49,817,-3.8,-2.5,-1.3,-0.4
Marcus Morris,PHI,37,637,-3.4,-2.3,-1.1,-0.2
Marcus Morris,CLE,12,180,-5.1,-3.2,-1.9,-0.1
Caleb Houstan,ORL,59,815,-1.9,-1.4,-0.5,0.0
Ben Sheppard,IND,57,814,-3.4,-3.3,-0.1,-0.3
Jake LaRavia,MEM,35,806,-2.5,-1.4,-1.0,-0.1
Bismack Biyombo,2TM,40,791,-3.4,-4.8,1.4,-0.3
Bismack Biyombo,MEM,30,718,-3.2,-4.8,1.6,-0.2
Bismack Biyombo,OKC,10,73,-5.2,-5.4,0.2,-0.1
JT Thor,CHO,63,781,-4.5,-3.5,-1.1,-0.5
Isaiah Jackson,IND,59,771,1.7,0.3,1.4,0.7
Mitchell Robinson,NYK,31,768,0.0,-0.3,0.4,0.4
Jock Landale,HOU,56,763,-0.1,-0.5,0.4,0.4
Cody Martin,CHO,28,753,-3.5,-4.1,0.6,-0.3
KJ Martin,2TM,60,746,-4.1,-4.0,-0.1,-0.4
KJ Martin,LAC,2,31,-6.1,-6.8,0.7,0.0
KJ Martin,PHI,58,715,-4.0,-3.9,-0.1,-0.4
Delon Wright,2TM,47,742,0.4,-2.0,2.5,0.5
Delon Wright,WAS,33,456,0.5,-1.8,2.3,0.3
Delon Wright,MIA,14,286,0.3,-2.4,2.8,0.2
Ish Smith,CHO,43,741,-6.8,-5.6,-1.2,-0.9
Mo Bamba,PHI,57,740,-1.0,-2.3,1.4,0.2
Nick Smith Jr.,CHO,51,729,-5.9,-3.1,-2.8,-0.7
Landry Shamet,WAS,46,726,-4.0,-2.7,-1.3,-0.4
Chris Duarte,SAC,59,719,-3.4,-3.5,0.1,-0.2
Jordan Nwora,2TM,52,712,-2.5,-1.1,-1.5,-0.1
Jordan Nwora,IND,18,183,-4.0,-1.8,-2.2,-0.1
Jordan Nwora,TOR,34,529,-2.0,-0.8,-1.2,0.0
LaMelo Ball,CHO,22,711,3.3,3.8,-0.5,1.0
Chris Boucher,TOR,50,705,-1.7,-0.3,-1.4,0.1
Jacob Gilyard,2TM,41,699,-1.4,-2.0,0.6,0.1
Jacob Gilyard,MEM,37,654,-1.3,-1.5,0.2,0.1
Jacob Gilyard,BRK,4,45,-2.2,-8.7,6.5,0.0
Bruno Fernando,ATL,45,682,-2.3,-3.1,0.9,-0.1
Dalen Terry,CHI,59,681,-2.3,-3.4,1.1,0.0
Gary Payton II,GSW,44,680,0.9,-1.3,2.2,0.5
Mason Plumlee,LAC,46,674,-0.8,-1.1,0.4,0.2
Dāvis Bertāns,2TM,43,674,-1.4,-0.8,-0.6,0.1
Dāvis Bertāns,OKC,15,91,4.0,3.2,0.8,0.1
Dāvis Bertāns,CHO,28,583,-2.3,-1.4,-0.8,0.0
Keita Bates-Diop,2TM,53,665,-1.0,-1.5,0.4,0.2
Keita Bates-Diop,PHO,39,597,-1.2,-1.5,0.3,0.1
Keita Bates-Diop,BRK,14,68,0.2,-1.3,1.5,0.0
Jalen Wilson,BRK,43,664,-2.9,-1.8,-1.1,-0.2
Craig Porter Jr.,CLE,51,649,0.5,-0.6,1.1,0.4
Rayan Rupert,POR,39,633,-6.7,-5.6,-1.2,-0.8
Oshae Brissett,BOS,55,630,-1.8,-2.0,0.2,0.0
Danilo Gallinari,3TM,49,630,-1.9,-0.8,-1.0,0.0
Danilo Gallinari,WAS,26,385,-2.6,-0.8,-1.8,-0.1
Danilo Gallinari,DET,6,90,6.9,5.9,1.0,0.2
Danilo Gallinari,MIL,17,155,-5.2,-5.0,-0.2,-0.1
Jordan McLaughlin,MIN,56,626,4.2,1.4,2.9,1.0
Seth Curry,2TM,44,616,-3.3,-2.6,-0.6,-0.2
Seth Curry,DAL,36,457,-4.0,-3.2,-0.9,-0.2
Seth Curry,CHO,8,159,-1.1,-1.1,0.0,0.0
A.J. Green,MIL,56,614,-2.1,-0.4,-1.7,0.0
Johnny Davis,WAS,50,613,-6.6,-5.5,-1.1,-0.7
MarJon Beauchamp,MIL,48,608,-3.2,-2.3,-0.9,-0.2
Marcus Smart,MEM,20,605,-2.4,-3.3,0.9,0.0
Mike Muscala,3TM,53,600,-5.3,-3.9,-1.4,-0.5
Mike Muscala,WAS,24,338,-6.2,-4.4,-1.8,-0.4
Mike Muscala,DET,13,171,-2.2,-1.7,-0.6,0.0
Mike Muscala,OKC,16,91,-8.0,-6.4,-1.6,-0.1
Jericho Sims,NYK,45,585,-1.8,-2.4,0.7,0.0
Brice Sensabaugh,UTA,32,584,-5.5,-3.3,-2.1,-0.5
Jarred Vanderbilt,LAL,29,581,-1.6,-2.9,1.3,0.0
Shake Milton,3TM,48,581,-3.7,-4.3,0.6,-0.3
Shake Milton,MIN,38,491,-4.2,-4.8,0.6,-0.3
Shake Milton,DET,4,63,0.3,0.2,0.1,0.0
Shake Milton,NYK,6,27,-3.5,-5.7,2.2,0.0
Evan Fournier,2TM,32,580,-4.3,-4.7,0.3,-0.3
Evan Fournier,NYK,3,39,-11.3,-11.8,0.4,-0.1
Evan Fournier,DET,29,541,-3.8,-4.2,0.3,-0.3
Zeke Nnaji,DEN,58,576,-3.7,-3.8,0.1,-0.2
Trey Jemison,2TM,25,573,-5.1,-4.7,-0.4,-0.5
Trey Jemison,WAS,2,1,-33.9,-30.3,-3.6,0.0
Trey Jemison,MEM,23,572,-5.1,-4.7,-0.4,-0.4
Andre Jackson Jr.,MIL,57,572,-3.6,-3.6,0.0,-0.2
Jared Butler,WAS,40,566,-2.1,-1.5,-0.5,0.0
Kevin Knox,DET,31,560,-4.6,-2.8,-1.8,-0.4
Lamar Stevens,2TM,38,559,-2.2,-2.2,-0.1,0.0
Lamar Stevens,BOS,19,122,-2.0,-2.9,0.9,0.0
Lamar Stevens,MEM,19,437,-2.3,-2.0,-0.3,0.0
Richaun Holmes,2TM,40,555,-3.3,-2.4,-0.8,-0.2
Richaun Holmes,DAL,23,237,-3.0,-2.4,-0.6,-0.1
Richaun Holmes,WAS,17,318,-3.4,-2.4,-1.0,-0.1
Tristan Thompson,CLE,49,549,-1.4,-2.1,0.6,0.1
Julian Strawther,DEN,50,545,-6.0,-4.6,-1.4,-0.6
Omer Yurtseven,UTA,48,545,-3.0,-1.6,-1.5,-0.1
Vít Krejčí,ATL,22,541,-3.7,-3.3,-0.4,-0.2
Bones Hyland,LAC,37,540,-3.6,-2.8,-0.8,-0.2
Jalen McDaniels,TOR,50,538,-9.0,-7.2,-1.8,-1.0
Scotty Pippen Jr.,MEM,21,527,1.3,-0.1,1.4,0.4
Sasha Vezenkov,SAC,42,511,-0.9,-0.2,-0.7,0.1
Danuel House Jr.,PHI,34,509,-4.0,-3.4,-0.5,-0.3
Mark Williams,CHO,19,508,0.8,1.6,-0.8,0.3
Jaden Springer,2TM,49,507,-3.4,-4.9,1.5,-0.2
Jaden Springer,PHI,32,377,-3.4,-4.5,1.0,-0.1
Jaden Springer,BOS,17,130,-3.2,-6.0,2.8,0.0
Patrick Baldwin Jr.,WAS,38,493,-4.6,-4.0,-0.6,-0.3
Robert Covington,2TM,29,488,2.2,-1.1,3.2,0.5
Robert Covington,LAC,3,69,2.3,-2.3,4.5,0.1
Robert Covington,PHI,26,419,2.2,-0.9,3.0,0.4
P.J. Tucker,2TM,31,486,-3.6,-4.0,0.4,-0.2
P.J. Tucker,PHI,3,66,-4.0,-5.2,1.2,0.0
P.J. Tucker,LAC,28,420,-3.5,-3.9,0.3,-0.2
Tari Eason,HOU,22,480,1.6,-0.4,2.0,0.4
Monte Morris,2TM,33,476,0.7,-0.8,1.5,0.3
Monte Morris,DET,6,68,-6.9,-4.7,-2.2,-0.1
Monte Morris,MIN,27,408,2.0,-0.2,2.2,0.4
Bol Bol,PHO,43,469,2.1,1.4,0.8,0.5
Isaiah Livers,DET,23,469,-6.5,-5.0,-1.5,-0.5
Anthony Gill,WAS,50,466,-4.1,-2.6,-1.5,-0.3
Yuta Watanabe,2TM,34,464,-6.4,-5.3,-1.1,-0.5
Yuta Watanabe,PHO,29,382,-6.0,-4.6,-1.4,-0.4
Yuta Watanabe,MEM,5,82,-8.6,-8.5,0.0,-0.1
Nassir Little,PHO,45,458,-3.0,-2.4,-0.6,-0.1
Sandro Mamukelashvili,SAS,46,451,-0.5,-0.1,-0.4,0.2
Alex Len,SAC,48,444,0.2,-2.7,2.9,0.2
Thomas Bryant,MIA,38,441,-0.4,-0.6,0.2,0.2
Thaddeus Young,2TM,33,439,0.3,-0.5,0.8,0.2
Thaddeus Young,TOR,23,350,0.6,-0.2,0.9,0.2
Thaddeus Young,PHO,10,89,-0.9,-1.5,0.6,0.0
Skylar Mays,2TM,38,433,-2.0,-2.1,0.1,0.0
Skylar Mays,POR,21,356,-2.3,-1.8,-0.5,0.0
Skylar Mays,LAL,17,77,-0.6,-3.5,2.9,0.0
Chuma Okeke,ORL,47,432,-3.4,-3.2,-0.2,-0.2
Dominick Barlow,SAS,33,420,-1.7,-1.7,0.0,0.0
Reggie Bullock,HOU,44,417,-2.4,-2.9,0.5,0.0
Patty Mills,2TM,32,415,-4.6,-5.0,0.4,-0.3
Patty Mills,ATL,19,202,-3.8,-4.1,0.4,-0.1
Patty Mills,MIA,13,213,-5.3,-5.8,0.5,-0.2
Trent Forrest,ATL,38,414,-4.4,-3.8,-0.7,-0.3
Svi Mykhailiuk,BOS,41,413,-1.8,-0.9,-0.9,0.0
Wesley Matthews,ATL,36,413,-2.8,-3.1,0.3,-0.1
Aleksej Pokusevski,2TM,28,405,-1.9,-1.8,-0.1,0.0
Aleksej Pokusevski,OKC,10,60,-9.9,-7.7,-2.2,-0.1
Aleksej Pokusevski,CHO,18,345,-0.5,-0.8,0.3,0.1
Luka Šamanić,UTA,43,404,-7.8,-4.9,-2.9,-0.6
Javon Freeman-Liberty,TOR,22,403,-5.2,-3.1,-2.0,-0.3
Derrick Rose,MEM,24,399,-2.8,-1.3,-1.5,-0.1
DeAndre Jordan,DEN,36,396,-1.7,-1.7,-0.1,0.0
Kobe Brown,LAC,44,394,-3.8,-4.0,0.2,-0.2
Lester Quiñones,GSW,37,394,-3.3,-2.0,-1.3,-0.1
Eugene Omoruyi,WAS,43,393,-2.3,-1.9,-0.4,0.0
Matt Ryan,NOP,28,390,-2.7,-1.4,-1.3,-0.1
Justin Minaya,POR,34,381,-5.6,-5.1,-0.5,-0.3
Johnny Juzang,UTA,20,372,-3.7,-1.5,-2.2,-0.2
Noah Clowney,BRK,23,370,-0.7,-0.8,0.1,0.1
Tosan Evbuomwan,2TM,17,367,-3.0,-2.4,-0.7,-0.1
Tosan Evbuomwan,MEM,4,74,-6.4,-4.2,-2.2,-0.1
Tosan Evbuomwan,DET,13,293,-2.2,-1.9,-0.3,0.0
Ousmane Dieng,OKC,33,365,-3.0,-2.3,-0.7,-0.1
Jontay Porter,TOR,26,360,1.7,-0.3,1.9,0.3
Ben Simmons,BRK,15,359,2.4,-0.5,2.9,0.4
Brandon Boston Jr.,LAC,32,345,-9.0,-6.2,-2.7,-0.6
Jarace Walker,IND,33,340,0.2,-0.5,0.7,0.2
JaVale McGee,SAC,46,339,-1.3,-1.9,0.6,0.1
Olivier-Maxence Prosper,DAL,40,336,-2.9,-1.7,-1.3,-0.1
Jeremiah Robinson-Earl,NOP,39,334,-2.2,-1.9,-0.3,0.0
Neemias Queta,BOS,28,333,1.5,0.4,1.1,0.3
Julian Phillips,CHI,40,323,-5.3,-4.7,-0.6,-0.3
Cody Zeller,NOP,43,320,-2.6,-2.9,0.3,0.0
Ja Morant,MEM,9,318,3.1,2.7,0.4,0.4
Ashton Hagans,POR,19,316,-3.5,-4.4,0.9,-0.1
Devonte' Graham,SAS,23,313,-3.9,-3.0,-0.9,-0.1
A.J. Lawson,DAL,42,311,-4.6,-3.1,-1.5,-0.2
Nathan Mensah,CHO,25,307,-8.8,-8.7,-0.1,-0.5
Stanley Umude,DET,24,307,-1.6,-1.5,-0.1,0.0
Orlando Robinson,MIA,36,304,-1.1,-1.9,0.8,0.1
Furkan Korkmaz,PHI,35,300,-2.7,-3.2,0.4,-0.1
Cory Joseph,GSW,26,296,-4.7,-4.0,-0.7,-0.2
Ricky Council IV,PHI,32,289,1.3,2.1,-0.8,0.2
Garrett Temple,TOR,27,289,-4.7,-3.4,-1.2,-0.2
Leaky Black,CHO,26,284,-2.4,-2.6,0.3,0.0
Lindy Waters III,OKC,38,280,1.9,2.4,-0.5,0.3
Kessler Edwards,SAC,54,275,-1.5,-1.6,0.1,0.0
Damian Jones,CLE,39,270,-0.5,-1.7,1.2,0.1
Onuralp Bitim,CHI,23,268,-7.4,-5.4,-2.0,-0.4
Kira Lewis Jr.,3TM,28,265,-5.8,-4.4,-1.4,-0.3
Kira Lewis Jr.,NOP,15,144,-7.5,-6.4,-1.1,-0.2
Kira Lewis Jr.,TOR,1,2,-22.3,-22.1,-0.2,0.0
Kira Lewis Jr.,UTA,12,119,-3.5,-1.6,-1.9,0.0
Jamal Cain,MIA,26,259,-2.3,-2.5,0.2,0.0
Jared Rhoden,DET,17,245,-2.5,-2.9,0.4,0.0
Justin Champagnie,WAS,15,235,-1.8,-1.1,-0.8,0.0
Javonte Green,CHI,9,230,2.0,1.9,0.1,0.2
Ibou Badji,POR,22,226,-5.8,-7.7,1.9,-0.2
Collin Gillespie,DEN,24,225,-2.7,-3.7,0.9,0.0
Gabe Vincent,LAL,11,218,-6.5,-6.9,0.4,-0.2
Markieff Morris,DAL,26,216,-5.3,-4.0,-1.3,-0.2
Jaylen Nowell,2TM,13,214,-5.4,-4.1,-1.4,-0.2
Jaylen Nowell,MEM,9,156,-7.4,-5.9,-1.6,-0.2
Jaylen Nowell,DET,4,58,-0.1,0.7,-0.8,0.0
Théo Maledon,2TM,17,213,-10.3,-8.3,-2.1,-0.5
Théo Maledon,CHO,13,200,-9.5,-7.7,-1.8,-0.4
Théo Maledon,PHO,4,13,-23.7,-17.6,-6.1,-0.1
Charles Bassey,SAS,19,205,1.3,-1.8,3.1,0.2
Taj Gibson,2TM,20,204,-5.3,-5.3,0.1,-0.2
Taj Gibson,NYK,16,165,-6.9,-6.9,0.0,-0.2
Taj Gibson,DET,4,39,1.7,1.2,0.4,0.0
Moses Brown,POR,22,200,-6.5,-4.1,-2.4,-0.2
Kenneth Lofton Jr.,3TM,21,199,-0.3,-0.6,0.3,0.1
Kenneth Lofton Jr.,MEM,15,99,-4.5,-5.4,0.9,-0.1
Kenneth Lofton Jr.,PHI,2,9,-32.6,-23.4,-9.2,-0.1
Kenneth Lofton Jr.,UTA,4,91,7.5,6.9,0.6,0.2
Kobe Bufkin,ATL,17,196,-4.5,-4.3,-0.2,-0.1
Colby Jones,SAC,30,192,-5.0,-5.4,0.4,-0.1
Gui Santos,GSW,23,192,-0.5,0.0,-0.5,0.1
Terry Taylor,CHI,31,188,-3.2,-3.1,-0.1,0.0
Micah Potter,UTA,16,186,-2.3,-1.4,-0.9,0.0
Saben Lee,PHO,24,185,-1.4,-2.0,0.6,0.0
Otto Porter Jr.,TOR,15,174,-3.2,-3.5,0.3,-0.1
AJ Griffin,ATL,20,171,-9.6,-6.0,-3.5,-0.3
Joe Harris,DET,16,170,-5.9,-4.7,-1.1,-0.2
Trevelin Queen,ORL,14,165,-3.4,-4.7,1.4,-0.1
Zavier Simpson,MEM,7,161,-5.9,-6.2,0.3,-0.2
Thanasis Antetokounmpo,MIL,34,155,-6.4,-6.7,0.3,-0.2
Tristan Vukcevic,WAS,10,153,-3.6,-3.5,-0.1,-0.1
Darius Bazley,2TM,9,152,-0.4,-0.9,0.5,0.1
Darius Bazley,PHI,3,10,-8.4,-7.7,-0.7,0.0
Darius Bazley,UTA,6,142,0.2,-0.4,0.6,0.1
DeJon Jarreau,MEM,9,150,-4.0,-4.6,0.7,-0.1
Jules Bernard,WAS,19,149,-3.0,-0.6,-2.5,0.0
Jeff Dowtin Jr.,PHI,12,142,3.3,2.0,1.3,0.2
Sidy Cissoko,SAS,12,141,-2.7,-4.0,1.4,0.0
Brandon Clarke,MEM,6,134,1.0,0.7,0.3,0.1
Emoni Bates,CLE,15,133,-9.2,-6.2,-3.0,-0.2
Dru Smith,MIA,9,131,1.4,-1.8,3.2,0.1
Nate Williams,HOU,22,129,-1.6,-0.8,-0.8,0.0
T.J. Warren,MIN,11,125,-4.5,-5.0,0.5,-0.1
Timmy Allen,MEM,5,125,-11.1,-10.3,-0.7,-0.3
Jalen Pickett,DEN,27,122,-3.3,-2.7,-0.5,0.0
Luka Garza,MIN,25,122,-2.1,0.6,-2.7,0.0
Mãozinha Pereira,MEM,7,122,-0.5,-1.2,0.7,0.0
Jahmi'us Ramsey,TOR,7,121,-4.4,-3.9,-0.5,-0.1
Marques Bolden,2TM,11,121,-2.7,-2.1,-0.5,0.0
Marques Bolden,MIL,2,3,-5.5,-7.8,2.3,0.0
Marques Bolden,CHO,9,118,-2.6,-2.0,-0.6,0.0
Mouhamadou Gueye,TOR,11,120,-11.9,-11.0,-0.9,-0.3
Xavier Moon,LAC,14,119,-6.1,-4.7,-1.4,-0.1
Robert Williams,POR,6,119,0.7,-2.2,2.9,0.1
Brandon Williams,DAL,17,113,-5.5,-2.7,-2.8,-0.1
Udoka Azubuike,PHO,16,113,-3.2,-3.0,-0.1,0.0
Matthew Hurt,MEM,8,113,-3.7,-3.0,-0.7,-0.1
Jalen Hood-Schifino,LAL,21,109,-16.1,-12.4,-3.7,-0.4
Dylan Windler,3TM,17,108,0.7,1.7,-1.0,0.1
Dylan Windler,NYK,3,7,7.4,3.7,3.8,0.0
Dylan Windler,LAL,8,28,3.2,3.8,-0.6,0.0
Dylan Windler,ATL,6,73,-0.9,0.6,-1.6,0.0
Malik Williams,TOR,7,107,-11.5,-7.8,-3.7,-0.3
Armoni Brooks,BRK,10,104,-5.8,-2.2,-3.7,-0.1
Maxwell Lewis,LAL,34,103,-13.5,-10.3,-3.2,-0.3
Harry Giles,2TM,23,100,-4.8,-2.7,-2.0,-0.1
Harry Giles,BRK,16,81,-2.8,-1.1,-1.8,0.0
Harry Giles,LAL,7,19,-12.9,-9.7,-3.2,-0.1
Olivier Sarr,OKC,15,98,-2.6,-2.6,-0.1,0.0
Jamaree Bouyea,2TM,9,95,-12.3,-10.2,-2.0,-0.2
Jamaree Bouyea,POR,6,57,-17.8,-13.0,-4.8,-0.2
Jamaree Bouyea,SAS,3,38,-3.9,-6.1,2.2,0.0
Josh Minott,MIN,32,91,5.1,1.8,3.3,0.2
Chris Livingston,MIL,21,90,-8.0,-7.0,-1.0,-0.1
Cole Swider,MIA,18,87,-4.5,-2.1,-2.4,-0.1
Admiral Schofield,ORL,23,84,-4.9,-4.1,-0.8,-0.1
Terquavion Smith,PHI,16,84,0.8,0.3,0.5,0.1
Buddy Boeheim,DET,10,84,-3.5,-0.7,-2.8,0.0
Jordan Walsh,BOS,9,83,-3.8,-5.6,1.8,0.0
Jerome Robinson,GSW,22,81,-8.3,-6.1,-2.2,-0.1
James Bouknight,CHO,14,81,2.2,4.4,-2.2,0.1
Wenyen Gabriel,MEM,5,81,-12.5,-10.6,-1.9,-0.2
Ryan Rollins,2TM,13,78,5.7,0.6,5.1,0.2
Ryan Rollins,WAS,10,66,5.0,0.6,4.5,0.1
Ryan Rollins,MIL,3,12,9.2,0.6,8.5,0.0
R.J. Hampton,MIA,8,76,-9.5,-8.1,-1.4,-0.1
Wendell Moore Jr.,MIN,25,75,-2.8,-6.1,3.3,0.0
Nate Hinton,HOU,15,75,3.6,1.9,1.7,0.1
Mouhamed Gueye,ATL,6,73,-1.5,-2.1,0.6,0.0
Isaiah Mobley,CLE,10,72,-6.6,-4.5,-2.1,-0.1
Boban Marjanović,HOU,14,71,-0.3,0.2,-0.5,0.0
Jason Preston,UTA,7,71,-2.6,-2.5,-0.1,0.0
Jett Howard,ORL,18,67,-1.8,-1.4,-0.3,0.0
Kobi Simmons,TOR,4,67,-1.0,-2.6,1.6,0.0
Keyontae Johnson,OKC,9,66,-9.8,-7.5,-2.2,-0.1
Adama Sanogo,CHI,9,66,-6.7,-0.4,-6.3,-0.1
Robin Lopez,MIL,16,65,-6.1,-4.7,-1.4,-0.1
Amari Bailey,CHO,10,65,-8.3,-5.2,-3.1,-0.1
Moussa Diabaté,LAC,11,64,3.5,4.0,-0.5,0.1
Jack White,MEM,4,64,-10.3,-9.1,-1.2,-0.1
Kendall Brown,IND,15,63,-6.8,-4.2,-2.6,-0.1
Ish Wainright,2TM,11,62,-2.4,-2.9,0.5,0.0
Ish Wainright,POR,7,46,-0.6,-1.2,0.6,0.0
Ish Wainright,PHO,4,16,-7.5,-7.8,0.3,0.0
Keon Johnson,BRK,5,61,-2.7,-1.6,-1.1,0.0
Braxton Key,DEN,20,60,2.1,0.5,1.6,0.1
Jermaine Samuels,HOU,14,60,0.8,-0.3,1.1,0.0
Colin Castleton,LAL,16,59,-5.2,-3.9,-1.4,0.0
TyTy Washington Jr.,MIL,11,56,-8.2,-7.1,-1.0,-0.1
Dereon Seabron,NOP,6,55,-1.5,-2.7,1.2,0.0
Juan Toscano-Anderson,SAC,11,53,-9.4,-8.7,-0.6,-0.1
Leonard Miller,MIN,17,52,9.6,5.9,3.7,0.2
Seth Lundy,ATL,9,52,-12.7,-7.7,-5.0,-0.1
David Duke Jr.,SAS,4,51,1.4,-0.1,1.4,0.0
Daishen Nix,MIN,15,50,-1.4,-2.8,1.4,0.0
Jay Huff,DEN,20,49,1.3,-0.3,1.6,0.0
Hunter Tyson,DEN,18,48,-8.9,-6.8,-2.1,-0.1
James Johnson,IND,9,47,-5.8,-8.0,2.2,0.0
DaQuan Jeffries,NYK,17,46,-8.1,-5.6,-2.5,-0.1
Ryan Arcidiacono,NYK,20,45,-9.6,-11.5,1.9,-0.1
Frank Ntilikina,CHO,5,43,-13.4,-10.0,-3.4,-0.1
Oscar Tshiebwe,IND,8,42,2.2,4.5,-2.3,0.0
D'Moi Hodge,LAL,7,41,-6.3,-3.7,-2.6,0.0
Greg Brown III,DAL,6,40,-4.4,-5.0,0.6,0.0
Taze Moore,POR,4,40,-3.1,-2.5,-0.6,0.0
Alex Fudge,2TM,6,40,-5.2,-3.7,-1.5,0.0
Alex Fudge,LAL,4,14,-18.1,-9.9,-8.3,-0.1
Alex Fudge,DAL,2,26,1.7,-0.4,2.1,0.0
JD Davison,BOS,8,39,3.3,1.8,1.4,0.1
RaiQuan Gray,SAS,3,39,7.4,5.6,1.8,0.1
Jacob Toppin,NYK,9,38,-0.7,0.6,-1.3,0.0
Jalen Slawson,SAC,12,37,-6.4,-7.5,1.1,0.0
Charlie Brown Jr.,NYK,8,37,-13.6,-10.2,-3.4,-0.1
D.J. Carton,TOR,4,36,-5.3,-4.2,-1.1,0.0
Dexter Dennis,DAL,4,30,1.7,1.7,-0.1,0.0
Henri Drell,CHI,4,30,-4.9,-5.1,0.2,0.0
Jordan Miller,LAC,8,28,-3.8,0.4,-4.2,0.0
Mason Jones,SAC,5,28,-5.5,-5.4,0.0,0.0
Pete Nance,CLE,8,27,-15.2,-11.9,-3.2,-0.1
Pat Spencer,GSW,6,26,-6.4,-3.4,-3.1,0.0
Dariq Whitehead,BRK,2,24,-7.9,-5.5,-2.4,0.0
Mamadi Diakite,2TM,6,24,3.5,0.8,2.7,0.0
Mamadi Diakite,SAS,3,16,11.6,7.9,3.7,0.1
Mamadi Diakite,NYK,3,8,-12.7,-13.5,0.7,0.0
E.J. Liddell,NOP,8,23,-4.7,-8.7,4.0,0.0
Drew Peterson,BOS,3,23,5.3,3.8,1.6,0.0
Jordan Ford,SAC,6,22,2.2,3.3,-1.1,0.0
Isaiah Thomas,PHO,6,19,-6.9,-1.6,-5.2,0.0
Usman Garuba,GSW,6,18,-10.9,-10.8,-0.1,0.0
Danny Green,PHI,2,18,-6.6,-7.4,0.8,0.0
Alondes Williams,MIA,7,16,-23.2,-17.8,-5.4,-0.1
Ty Jerome,CLE,2,15,-4.9,-4.1,-0.8,0.0
D.J. Wilson,PHI,2,15,22.4,15.5,7.0,0.1
Adam Flagler,OKC,2,14,-10.6,-6.7,-3.9,0.0
Andrew Funk,CHI,5,13,-14.4,-12.4,-2.0,0.0
Quenton Jackson,IND,3,11,3.3,-3.5,6.8,0.0
Joshua Primo,LAC,2,10,-25.0,-16.8,-8.2,-0.1
Filip Petrušev,2TM,3,10,-8.0,-4.7,-3.3,0.0
Filip Petrušev,PHI,1,3,-4.9,-3.0,-1.9,0.0
Filip Petrušev,SAC,2,7,-9.3,-5.5,-3.9,0.0
Lindell Wigginton,MIL,3,8,-23.9,-14.6,-9.2,0.0
Kaiser Gates,NOP,1,7,-28.8,-18.6,-10.1,-0.1
Shaquille Harrison,MEM,3,6,4.6,-0.7,5.2,0.0
Kevon Harris,ORL,2,6,-15.8,-15.5,-0.3,0.0
Hamidou Diallo,WAS,2,5,18.7,2.7,16.0,0.0
Ron Harper Jr.,TOR,1,4,-8.8,-11.7,2.8,0.0
Markquis Nowell,TOR,1,4,43.3,29.1,14.2,0.0
Isaiah Wong,IND,1,4,-19.0,-11.3,-7.7,0.0
Izaiah Brockington,NOP,1,3,-17.8,-9.2,-8.5,0.0
Malcolm Cazalon,DET,1,3,-9.1,-6.0,-3.2,0.0
Jalen Crutcher,NOP,1,3,-26.2,-18.5,-7.8,0.0
Dmytro Skapintsev,NYK,2,2,-25.9,-16.0,-9.8,0.0
Justin Jackson,MIN,2,1,-7.5,-6.3,-1.2,0.0
Javonte Smart,PHI,1,1,-8.3,-6.2,-2.1,0.0